pid,fig,png,mode,ink,kind,cut_id,axis,depth,gap,gap_px,half_a,half_b,box,selected_x,run_len,longest,tie,reason,candidates,n_free,n_clipped,selected_run,search_to,need_overlap,orphan,w,h,outcome,n_candidates,nearest,relation,n_opposite,n_nested,opposite,nested,lineage,panel,cut_axis,side,accepted,c_data_no_axis,c_rows,c_caption,c_baseline,c_coords,c_regular,why_data_no_axis,why_rows,why_caption,why_baseline,why_coords,why_regular,reach,grown,score,n_rows,rule,measured,threshold,detail,axis_status,axis_from,spine_x,baseline_y,status,n_labels,n_bars,fragment,source
397,Fig. 1,ID397__fig1.png,GRID,140,AXIS_FALLBACK,,,,,,,,"611,1102,1078,1453",698,202,202,0.95,leftmost column whose run is >= 0.95 of the longest (202 px),698:202px;699:201px;922:106px;921:106px;957:94px;956:94px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,Fig. 1,ID397__fig1.png,GRID,140,AXIS_FALLBACK,,,,,,,,"779,908,870,988",891,60,60,0.95,leftmost column whose run is >= 0.95 of the longest (60 px),891:60px;859:40px;858:40px;890:36px;794:35px;793:35px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,Fig. 1,ID397__fig1.png,GRID,140,AXIS_CANDIDATES,,,,,,,,"779,908,870,988",,,,,no run long enough,,0,0,,856,35.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,Fig. 1,ID397__fig1.png,GRID,140,AXIS_FALLBACK,,,,,,,,"431,531,1147,1262",433,103,103,0.95,leftmost column whose run is >= 0.95 of the longest (103 px),433:103px;502:102px;501:102px;468:80px;467:80px;434:7px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,Fig. 1,ID397__fig1.png,GRID,140,AXIS_CANDIDATES,,,,,,,,"431,531,1147,1262",467,,,,leftmost of 2 free runs,467:1157-1237:free;468:1157-1237:free;433:1159-1262:clipped,2,1,1157-1237,491,34.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,Fig. 1,ID397__fig1.png,GRID,140,AXIS_FALLBACK,,,,,,,,"779,974,1155,1323",921,106,106,0.95,leftmost column whose run is >= 0.95 of the longest (106 px),922:106px;921:106px;957:94px;956:94px;853:80px;785:71px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,Fig. 1,ID397__fig1.png,GRID,140,AXIS_CANDIDATES,,,,,,,,"779,974,1155,1323",818,,,,leftmost of 5 free runs,818:1244-1312:free;819:1244-1312:free;853:1230-1310:free;887:1181-1243:free;888:1181-1243:free;784:1252-1323:clipped;785:1252-1323:clipped,5,2,1244-1312,896,50.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,Fig. 1,ID397__fig1.png,GRID,140,AXIS_FALLBACK,,,,,,,,"779,974,833,988",923,109,109,0.95,leftmost column whose run is >= 0.95 of the longest (109 px),923:109px;924:108px;956:95px;891:60px;859:40px;858:40px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,Fig. 1,ID397__fig1.png,GRID,140,AXIS_CANDIDATES,,,,,,,,"779,974,833,988",891,,,,leftmost of 1 free runs,891:870-930:free,1,0,870-930,896,46.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,Fig. 1,ID397__fig1.png,GRID,140,AXIS_FALLBACK,,,,,,,,"779,908,1181,1323",853,80,80,0.95,leftmost column whose run is >= 0.95 of the longest (80 px),853:80px;785:71px;784:71px;819:68px;818:68px;888:62px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,Fig. 1,ID397__fig1.png,GRID,140,AXIS_CANDIDATES,,,,,,,,"779,908,1181,1323",818,,,,leftmost of 3 free runs,818:1244-1312:free;819:1244-1312:free;853:1230-1310:free;784:1252-1323:clipped;785:1252-1323:clipped,3,2,1244-1312,856,42.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,Fig. 1,ID397__fig1.png,GRID,140,AXIS_FALLBACK,,,,,,,,"567,677,1147,1275",569,117,117,0.95,leftmost column whose run is >= 0.95 of the longest (117 px),570:117px;569:117px;674:14px;673:14px;669:13px;675:12px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,Fig. 1,ID397__fig1.png,GRID,140,AXIS_CANDIDATES,,,,,,,,"567,677,1147,1275",569,,,,no free run; leftmost of 2 clipped,569:1147-1264:clipped;570:1147-1264:clipped,0,2,1147-1264,633,38.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,Fig. 1,ID397__fig1.png,GRID,140,AXIS_FALLBACK,,,,,,,,"710,777,494,607",748,100,100,0.95,leftmost column whose run is >= 0.95 of the longest (100 px),749:100px;748:100px;716:85px;715:85px;719:13px;740:12px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,Fig. 1,ID397__fig1.png,GRID,140,AXIS_CANDIDATES,,,,,,,,"710,777,494,607",715,,,,no free run; leftmost of 4 clipped,715:522-607:clipped;716:522-607:clipped;748:494-594:clipped;749:494-594:clipped,0,4,522-607,750,33.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,Fig. 1,ID397__fig1.png,GRID,140,AXIS_FALLBACK,,,,,,,,"910,974,833,942",923,109,109,0.95,leftmost column whose run is >= 0.95 of the longest (109 px),923:109px;924:108px;956:95px;957:7px;955:7px;922:7px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,Fig. 1,ID397__fig1.png,GRID,140,AXIS_CANDIDATES,,,,,,,,"910,974,833,942",923,,,,no free run; leftmost of 2 clipped,923:833-942:clipped;924:833-941:clipped,0,2,833-942,948,32.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,Fig. 1,ID397__fig1.png,GRID,140,AXIS_FALLBACK,,,,,,,,"910,974,1155,1263",921,106,106,0.95,leftmost column whose run is >= 0.95 of the longest (106 px),922:106px;921:106px;957:94px;956:94px;920:8px;919:8px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,Fig. 1,ID397__fig1.png,GRID,140,AXIS_CANDIDATES,,,,,,,,"910,974,1155,1263",921,,,,no free run; leftmost of 2 clipped,921:1157-1263:clipped;922:1157-1263:clipped,0,2,1157-1263,948,32.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,Fig. 1,ID397__fig1.png,GRID,140,AXIS_FALLBACK,,,,,,,,"711,777,1245,1323",715,67,70,0.95,leftmost column whose run is >= 0.95 of the longest (70 px),750:70px;749:70px;716:67px;715:67px;720:8px;719:7px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,Fig. 1,ID397__fig1.png,GRID,140,AXIS_CANDIDATES,,,,,,,,"711,777,1245,1323",715,,,,no free run; leftmost of 3 clipped,715:1245-1312:clipped;716:1245-1312:clipped;749:1253-1323:clipped,0,3,1245-1312,750,23.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,Fig. 1,ID397__fig1.png,GRID,140,AXIS_FALLBACK,,,,,,,,"723,777,918,990",728,53,53,0.95,leftmost column whose run is >= 0.95 of the longest (53 px),728:53px;761:45px;760:45px;733:14px;748:13px;734:13px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,Fig. 1,ID397__fig1.png,GRID,140,AXIS_CANDIDATES,,,,,,,,"723,777,918,990",728,,,,no free run; leftmost of 1 clipped,728:918-971:clipped,0,1,918-971,755,21.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,Fig. 1,ID397__fig1.png,OFF,158,CUT,1,row,0,405-441,36,"0,1142,0,423","0,1142,423,1460",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,Fig. 1,ID397__fig1.png,OFF,158,CUT,2,col,1,568-624,56,"0,596,0,423","596,1142,0,423",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,Fig. 1,ID397__fig1.png,OFF,158,CUT,3,row,2,46-76,30,"0,596,0,61","0,596,61,423",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,Fig. 1,ID397__fig1.png,OFF,158,CUT,4,row,3,286-315,29,"0,596,61,300","0,596,300,423",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,Fig. 1,ID397__fig1.png,OFF,158,CUT,5,row,2,46-69,23,"596,1142,0,57","596,1142,57,423",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,Fig. 1,ID397__fig1.png,OFF,158,CUT,6,row,3,292-314,22,"596,1142,57,303","596,1142,303,423",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,Fig. 1,ID397__fig1.png,OFF,158,CUT,7,row,1,756-791,35,"0,1142,423,773","0,1142,773,1460",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,Fig. 1,ID397__fig1.png,OFF,158,CUT,8,col,2,577-619,42,"0,598,423,773","598,1142,423,773",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,Fig. 1,ID397__fig1.png,OFF,158,CUT,9,row,3,628-662,34,"0,598,423,645","0,598,645,773",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,Fig. 1,ID397__fig1.png,OFF,158,CUT,10,row,3,641-665,24,"598,1142,423,653","598,1142,653,773",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,Fig. 1,ID397__fig1.png,OFF,158,CUT,11,row,2,1419-1437,18,"0,1142,773,1428","0,1142,1428,1460",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,Fig. 1,ID397__fig1.png,OFF,158,CUT,12,col,3,586-613,27,"0,599,773,1428","599,1142,773,1428",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,Fig. 1,ID397__fig1.png,OFF,158,CUT,13,col,3,148-161,13,"0,154,1428,1460","154,1142,1428,1460",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,Fig. 1,ID397__fig1.png,OFF,158,AXIS_FALLBACK,,,,,,,,"102,574,445,628",181,152,152,0.95,leftmost column whose run is >= 0.95 of the longest (152 px),181:152px;367:64px;366:64px;468:63px;467:63px;299:60px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,Fig. 1,ID397__fig1.png,OFF,158,AXIS_FALLBACK,,,,,,,,"619,1083,441,641",1077,147,147,0.95,leftmost column whose run is >= 0.95 of the longest (147 px),1078:147px;1077:147px;913:123px;912:123px;1045:120px;1044:120px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,Fig. 1,ID397__fig1.png,OFF,158,AXIS_FALLBACK,,,,,,,,"102,574,445,628",181,152,152,0.95,leftmost column whose run is >= 0.95 of the longest (152 px),181:152px;367:64px;366:64px;468:63px;467:63px;299:60px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,Fig. 1,ID397__fig1.png,OFF,158,AXIS_FALLBACK,,,,,,,,"619,1083,441,641",1077,147,147,0.95,leftmost column whose run is >= 0.95 of the longest (147 px),1078:147px;1077:147px;913:123px;912:123px;1045:120px;1044:120px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,Fig. 1,ID397__fig1.png,OFF,158,AXIS_FALLBACK,,,,,,,,"102,568,139,260",321,75,75,0.95,leftmost column whose run is >= 0.95 of the longest (75 px),322:75px;321:75px;421:67px;420:67px;519:49px;518:49px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,Fig. 1,ID397__fig1.png,OFF,158,AXIS_FALLBACK,,,,,,,,"105,574,1098,1339",176,205,205,0.95,leftmost column whose run is >= 0.95 of the longest (205 px),176:205px;177:204px;365:124px;364:124px;570:117px;569:117px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,Fig. 1,ID397__fig1.png,OFF,158,AXIS_FALLBACK,,,,,,,,"624,1083,174,292",841,98,98,0.95,leftmost column whose run is >= 0.95 of the longest (98 px),842:98px;841:98px;876:77px;875:77px;1009:72px;1008:72px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,Fig. 1,ID397__fig1.png,OFF,158,AXIS_FALLBACK,,,,,,,,"619,1083,821,990",923,109,109,0.95,leftmost column whose run is >= 0.95 of the longest (109 px),924:109px;923:109px;1054:97px;1053:97px;956:96px;1021:69px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,Fig. 1,ID397__fig1.png,OFF,158,AXIS_FALLBACK,,,,,,,,"627,1083,1107,1342",698,204,204,0.95,leftmost column whose run is >= 0.95 of the longest (204 px),698:204px;699:202px;922:107px;921:107px;957:95px;956:94px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,Fig. 1,ID397__fig1.png,OFF,158,AXIS_CANDIDATES,,,,,,,,"102,574,445,628",299,,,,leftmost of 3 free runs,299:504-564:free;366:507-571:free;367:507-571:free;181:476-668:clipped,3,1,504-564,385,54.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
