Figure_UID,Cell_Key,Mean_R1,Dispersion_R1,Mean_R2,Dispersion_R2,Mean,Dispersion_Value,Errorbar_Lower,Errorbar_Upper,Events_R1,Events_R2,Events,N_at_Risk_R1,N_at_Risk_R2,N_at_Risk,Association_Type,Association_Value_R1,Association_Value_R2,Association_Value,CI_Lower,CI_Upper,P_Value,N_Pairs,Note
323|FIGURE 1|PAP,POSTURE=ORTHOSTASIS;TIMEPOINT=DI7,,,,,30.616,2.025,,,,,,,,,,,,,,,,,
323|FIGURE 1|PAP,POSTURE=ORTHOSTASIS;TIMEPOINT=DI14,,,,,23.926,1.673,,,,,,,,,,,,,,,,,
323|FIGURE 1|PAP,POSTURE=ORTHOSTASIS;TIMEPOINT=DI19,,,,,27.183,1.761,,,,,,,,,,,,,,,,,
323|FIGURE 1|PAP,POSTURE=ORTHOSTASIS;TIMEPOINT=R1,,,,,26.655,2.641,,,,,,,,,,,,,,,,,
323|FIGURE 1|PAP,POSTURE=ORTHOSTASIS;TIMEPOINT=R5,,,,,39.595,1.673,,,,,,,,,,,,,,,,,
323|FIGURE 1|PAP,POSTURE=SUPINE;TIMEPOINT=B-1,,,,,50.599,2.113,,,,,,,,,,,,,,,,,
323|FIGURE 1|PAP,POSTURE=SUPINE;TIMEPOINT=DI7,,,,,45.405,2.113,,,,,,,,,,,,,,,,,
323|FIGURE 1|PAP,POSTURE=SUPINE;TIMEPOINT=DI14,,,,,38.979,2.113,,,,,,,,,,,,,,,,,
323|FIGURE 1|PAP,POSTURE=SUPINE;TIMEPOINT=DI19,,,,,41.268,2.289,,,,,,,,,,,,,,,,,
323|FIGURE 1|PAP,POSTURE=SUPINE;TIMEPOINT=R1,,,,,36.778,2.201,,,,,,,,,,,,,,,,,
323|FIGURE 1|PAP,POSTURE=SUPINE;TIMEPOINT=R5,,,,,45.581,2.201,,,,,,,,,,,,,,,,,
323|FIGURE 1|HR,POSTURE=ORTHOSTASIS;TIMEPOINT=B-1,,,,,81.938,2.863,,,,,,,,,,,,,,,,,
323|FIGURE 1|HR,POSTURE=ORTHOSTASIS;TIMEPOINT=DI7,,,,,114.978,3.965,,,,,,,,,,,,,,,,,
323|FIGURE 1|HR,POSTURE=ORTHOSTASIS;TIMEPOINT=DI14,,,,,133.48,5.507,,,,,,,,,,,,,,,,,
323|FIGURE 1|HR,POSTURE=ORTHOSTASIS;TIMEPOINT=DI19,,,,,132.599,5.727,,,,,,,,,,,,,,,,,
323|FIGURE 1|HR,POSTURE=ORTHOSTASIS;TIMEPOINT=R1,,,,,125.551,3.965,,,,,,,,,,,,,,,,,
323|FIGURE 1|HR,POSTURE=ORTHOSTASIS;TIMEPOINT=R5,,,,,89.868,2.643,,,,,,,,,,,,,,,,,
323|FIGURE 1|HR,POSTURE=SUPINE;TIMEPOINT=B-1,,,,,64.758,2.643,,,,,,,,,,,,,,,,,
323|FIGURE 1|HR,POSTURE=SUPINE;TIMEPOINT=DI7,,,,,71.806,1.762,,,,,,,,,,,,,,,,,
323|FIGURE 1|HR,POSTURE=SUPINE;TIMEPOINT=DI14,,,,,80.837,2.863,,,,,,,,,,,,,,,,,
323|FIGURE 1|HR,POSTURE=SUPINE;TIMEPOINT=DI19,,,,,79.736,3.524,,,,,,,,,,,,,,,,,
323|FIGURE 1|HR,POSTURE=SUPINE;TIMEPOINT=R1,,,,,89.648,2.423,,,,,,,,,,,,,,,,,
323|FIGURE 1|HR,POSTURE=SUPINE;TIMEPOINT=R5,,,,,74.67,1.982,,,,,,,,,,,,,,,,,
323|FIGURE 1|SV,POSTURE=ORTHOSTASIS;TIMEPOINT=B-1,,,,,68.878,4.404,,,,,,,,,,,,,,,,,
323|FIGURE 1|SV,POSTURE=ORTHOSTASIS;TIMEPOINT=DI7,,,,,43.335,3.523,,,,,,,,,,,,,,,,,
323|FIGURE 1|SV,POSTURE=ORTHOSTASIS;TIMEPOINT=DI14,,,,,44.216,3.699,,,,,,,,,,,,,,,,,
323|FIGURE 1|SV,POSTURE=ORTHOSTASIS;TIMEPOINT=DI19,,,,,43.335,2.114,,,,,,,,,,,,,,,,,
323|FIGURE 1|SV,POSTURE=ORTHOSTASIS;TIMEPOINT=R1,,,,,50.206,3.699,,,,,,,,,,,,,,,,,
323|FIGURE 1|SV,POSTURE=ORTHOSTASIS;TIMEPOINT=R5,,,,,71.521,4.052,,,,,,,,,,,,,,,,,
323|FIGURE 1|SV,POSTURE=SUPINE;TIMEPOINT=B-1,,,,,87.023,4.404,,,,,,,,,,,,,,,,,
323|FIGURE 1|SV,POSTURE=SUPINE;TIMEPOINT=DI7,,,,,63.241,4.58,,,,,,,,,,,,,,,,,
323|FIGURE 1|SV,POSTURE=SUPINE;TIMEPOINT=DI14,,,,,64.122,4.756,,,,,,,,,,,,,,,,,
323|FIGURE 1|SV,POSTURE=SUPINE;TIMEPOINT=DI19,,,,,67.117,4.58,,,,,,,,,,,,,,,,,
323|FIGURE 1|SV,POSTURE=SUPINE;TIMEPOINT=R1,,,,,66.765,5.461,,,,,,,,,,,,,,,,,
323|FIGURE 1|SV,POSTURE=SUPINE;TIMEPOINT=R5,,,,,89.137,6.342,,,,,,,,,,,,,,,,,
